Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,RowNumber,Question Number,Question Name,Area affected by climate change,Health-related risk and vulnerability assessment undertaken,Identify the climate hazards most significantly impacting the selected areas,Identify the climate-related health issues faced by your city,Timescale of climate-related issues for the selected health area,Please identify which vulnerable populations are affected by these climate-related impacts,Please explain
Cities 2021,1093,"City of Atlanta, GA",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Water Scarcity > Drought,Air-pollution related illnesses; Heat-related illnesses,Short-term (by 2025),Persons with pre-existing medical conditions,"Increasing extreme heat days in frequency exacerbates heat-related disoirders like heat stroke, cardivasuar arrest, as well as air related illnesses like asthma. https://www.georgiaclimateproject.org/portal/health/https://www.gpb.org/news/2019/07/31/more-extremely-hot-days-mean-stagnant-air-health-problems"
Cities 2021,1184,"City of Austin, TX",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes",Yes,Extreme cold temperature > Cold wave; Extreme cold temperature > Extreme winter conditions; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave,"Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Food & Nutrition Security; Heat-related illnesses",Current,"Elderly; Low-income households; Marginalized groups; Other, please specify: Immigrant and refugee communities, Unhoused communities, Communities of color; Outdoor workers; Persons living in sub-standard housing; Persons with pre-existing medical conditions","The disproportionate impact of climate change is rooted in the growth of the city and the social construct. Austin has a long history of systemic racism and racial inequity that continues to impact communities in the Eastern Crescent. Throughout Austin’s history, communities of color have been excluded, marginalized, and discriminated against as a result of City policies and practices. This has led to a disproportionate impact of air pollution, heat exposure and flood risk in historically Black and Latinx neighbourhoods due to industrialization and inadequate infrastructure. Working with faculty at the University of Texas at Austin, students and staff conducted a multi-risk assessment that considers how social vulnerability and hazard risk interact. The findings identify specific neighbourhoods (spatially designated as census block groups) that score relatively high on social vulnerability and face relatively high hazard risk.The health-related multi-risk assessment considers hazard and vulnerability interactions. In some socially vulnerable census block groups, there may exist risk from a single hazard. In other census block groups, the exposure to multiple hazard risks is relatively high. The possibility of cascading or domino effects amplify the overall risk and present challenges to community resilience. The spatial exposure of independent hazards include: a. Flooding (specifically, riverine/creek flooding) b. Wildfire & grassfires c. Extreme heat d. Drought/Air Quality and, e. unexpected hazards such as severe cold. These hazards can lead to or perpetuate a multitude of health conditions, including respiratory and cardiovascular diseases."
Cities 2021,1499,Ajuntament de Barcelona,Spain,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Biological hazards > Air-borne disease; Biological hazards > Vector-borne disease; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Flood and sea level rise > Flash / surface flood; Flood and sea level rise > River flood; Wild fire > Forest fire,"Air-pollution related illnesses; Direct physical injuries and deaths due to extreme weather events; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Current,Children and youth; Elderly; Low-income households; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Women,"Climate change affects health and quality of life but it doesn’t affect everyone in the same way. Climate justice has to do with inequalities: factors such as physical condition, health, age, gender, socio-economic situation or the conditions in the environments we live and work in determine the extent to which climate change affects people. In fact, it is believed that the climate crisis is thebiggest threat to health this century. Sustained, excessive heat leads to an increase in mortality and morbidity, especially among the most vulnerable groups of human beings, but also the rest of the natural world. It has been estimated that, between 1992 and 2015in Barcelona, 980 deaths among men and 2,729 among women (natural deaths of people aged 25 and over) were attributable to extreme heat, generally fragile older people. To reduce the vulnerability of people to climate change, we need to work on ensuring the continuity of services and universal access to basic supplies, guaranteeing thermal comfort both inside buildings (housing, facilities, etc.) and in public spaces, as well as improving and adapting the services to dependent persons. We need to advance towards becoming a healthy city that ensures the health and well-being of its citizens. A socially just city that reduces inequalities. And a habitable, comfortable city with quality public spaces. Most important challenges in Barcelona are:• Reducing the vulnerability of people to the climate crisis, understood to mean those situations that mean some people adapt less well to their effects, either because of their socio-economic situation (family income, housing conditions, doing demandingphysical activities outdoors), characteristics (gender, age, situation of solitude) or health (people with limited autonomy, chronic diseases, etc).• Cutting NOx and PM emissions, the main local pollutants which directly affect the health of Barcelona’s population and that of the surrounding area.• Reducing vulnerability and energy poverty.• Improving thermal and acoustic comfort in the city: in homes, sensitive facilities and public spaces.• Improving our knowledge of the impact climate change has on health, as well as social and gender inequalities.• Preventing and controlling possible alterations in the geographical and seasonal distribution of vectors (mosquitoes and others) and the diseases they can transmit.•Improving the accessibility (physical and economic) of healthy, fair-trade and sustainable foods, especially among people in a vulnerable situation.• Promoting healthier diets low in emissions: more local, fresh and seasonal produce, more fruit and vegetables, more ecological produce, less packaging, fewer highly processed foods, reducing the consumption of animal protein (above all red meat) and prioritising meat that comes from extensive and ecological stockbreeding"
Cities 2021,1850,Birmingham City Council,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme cold temperature > Extreme cold days; Extreme hot temperature > Extreme hot days; Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Flood and sea level rise > River flood; Storm and wind > Severe wind; Water Scarcity > Drought,"Air-pollution related illnesses; Direct physical injuries and deaths due to extreme weather events; Disruption to health service provision; Disruption to water, sanitation and wastewater services; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses; Mental health impacts; Overwhelming of health service provision due to increased demand",Current,Children and youth; Elderly; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons; Women,"There are concentrated poor neighbourhoods of ingrained poverty, poor housing, health and environment that are getting worse with time not better. The city is less resilient to external impacts, climate or Covid-19. More development in the city will lead to more localised flooding if adequate surfaces are not provided. Climate change will lead to extreme weathers and cause disruption and damage to the infrastructure and services and more tropical diseases will put strain on the local health services and facilities."
Cities 2021,2185,Bristol City Council,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme cold temperature > Extreme cold days; Extreme hot temperature > Heat wave; Flood and sea level rise > Coastal flood; Flood and sea level rise > River flood; Water Scarcity > Drought,"Air-pollution related illnesses; Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to health service provision; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses; Lack of climate-informed surveillance, preparedness, early warning and response; Mental health impacts; Overwhelming of health service provision due to increased demand",Medium-term (2026-2050),"Children and youth; Elderly; Factory workers; Low-income households; Marginalized groups; Other, please specify: Homeless & rough sleepers; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons; Women","The Preliminary Climate Resilience Assessment included a high-level assessment of climate change impacts on health with respect to flood, heat, drought and cold. The One City Climate Strategy recognises the need for more detailed work through delivery plans across a range of themes so that public and health services are more climate resilient, including more robust data and vulnerability studies. The Heat Mapping portal which Bristol is developing will explore the vulnerability of populations to climate-related risks taking into account socio-economic factors related to health. Our Heat Vulnerability Index will identify areas with high populations of at-risk groups. An extensive literature review and discussions with stakeholders has helped identify groups vulnerable to heat stress and explored factors impacting heat risk in the city. The HVI tool is comprised of layers relating to exposure, sensitivity and adaptive capacity. The sensitivity layer takes into account numerous socio-economic factors related to health."
Cities 2021,2430,"City of Burlington, VT",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,2621,Cambridgeshire County Council,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,,,,,,,
Cities 2021,36158,Comune di Napoli,Italy,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,3203,"City of Chicago, IL",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme cold temperature > Extreme cold days; Extreme cold temperature > Extreme winter conditions; Extreme hot temperature > Heat wave; Extreme Precipitation > Heavy snow; Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Storm and wind > Severe wind,"Air-pollution related illnesses; Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption to water, sanitation and wastewater services; Heat-related illnesses; Lack of climate-informed surveillance, preparedness, early warning and response",Current,Elderly; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Unemployed persons,"Chicago  suffered severely from the extreme heat wave of 1995, which killed a shocking 700+ lives within a short period in July.  Although the City's swift actions have ensured that such an episode hasn't repeated, dire warnings of increased frequency of heat waves continue to come.  The City continues to plan ahead to deal with climate-related shocks including heat and floods.In recent years, major local climatic fluctuations have caused either severe freezing events and severe heat events. The City anticipates more frequent and dangerous environmental conditions as climate change intensifies."
Cities 2021,3417,"New York City, NY",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Flood and sea level rise > Coastal flood; Storm and wind > Lightning / thunderstorm; Storm and wind > Storm surge,"Air-pollution related illnesses; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services; Heat-related illnesses; Mental health impacts",Current,Children and youth; Elderly; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons; Women,
